easting,northing 
828583.077400,4562327.850581
828617.438045,4562329.930858
828612.032393,4562341.042145
828794.222794,4562344.274096
828792.616719,4562349.764901
828796.401304,4562155.533242
828768.594495,4562123.233024
828649.239535,4562181.565831
828622.261116,4562149.705979
828610.949068,4562133.161908
828644.861955,4561796.880386
828638.615881,4561760.280858
828591.599863,4561744.235149
828592.906109,4561734.512226
828483.780689,4561722.504030
828486.229415,4561712.189369
828472.093710,4561720.368621
828455.151768,4561707.962331
828446.564477,4561703.736823
828429.949635,4561702.960210
828274.131365,4561672.688435
828258.539002,4561677.412158
828242.369021,4561698.819681
828232.812101,4561702.401148
828239.351907,4561715.794004
828235.932040,4561740.376454
828225.036772,4561747.148697
828223.130413,4561758.614137
828217.261399,4561862.398935
828217.849879,4561878.473773
828196.103358,4561918.094721
828204.814835,4561934.980801
828203.515262,4561948.720318
828191.574029,4562016.091991
828305.467750,4561981.417687
828372.980939,4561975.670248
